source,date,text,compound,positive,negative,neutral,ind
BBC,Sun Sep 02 13:03:02 +0000 2018,"🍋 Bring some freshness to your dessert with a squeeze of lemon. 
👉 https://t.co/uAys5XGjqv https://t.co/UEbBl8M85P",0.0,0.0,0.0,1.0,45
BBC,Sun Sep 02 12:25:11 +0000 2018,RT @BBCRadio4: Ten must-read novels based on events that shook the world. What do you think is missing? https://t.co/VwLynqnqwP,-0.3818,0.0,0.175,0.825,46
BBC,Sun Sep 02 12:24:18 +0000 2018,"RT @bbcthree: How to become a millionaire from your own bedroom
https://t.co/ZKsdhv2Z8l https://t.co/alZSZXDuQR",0.0,0.0,0.0,1.0,47
BBC,Sun Sep 02 11:34:00 +0000 2018,"This painting focused on two beautifully dressed black girls was radical for the mid-19th century.

Could this artw… https://t.co/B4MvAJMvQW",0.743,0.27,0.0,0.73,48
BBC,Sun Sep 02 11:03:19 +0000 2018,RT @BBCSport: Neymar doesn't always do himself many favours... but this is great ❤️ https://t.co/000oqICDZ0,0.7684,0.288,0.0,0.712,49
BBC,Sun Sep 02 10:20:05 +0000 2018,"RT @BBCOne: Find your dancing shoes 👞 👠

#Strictly returns to BBC One on Sep 8th. https://t.co/V7MlSZDwSL",0.0,0.0,0.0,1.0,50
BBC,Sun Sep 02 10:07:06 +0000 2018,🐢 It's hard to imagine... but turtles didn't always have shells.  https://t.co/uLL0DO11Tu,-0.0516,0.0,0.107,0.893,51
BBC,Sun Sep 02 09:09:03 +0000 2018,"🥥 According to one Harvard professor, coconut oil, is 'pure poison'.
👉 https://t.co/Xq6XdYHoDW https://t.co/sTiuM53z5h",0.0,0.0,0.0,1.0,52
BBC,Sun Sep 02 08:11:03 +0000 2018,😍 These baby rock hyraxes weigh no more than 250g each. https://t.co/BvEkBKJz9q,-0.296,0.0,0.18,0.82,53
BBC,Sun Sep 02 07:05:06 +0000 2018,🍃 Start your Sunday right. https://t.co/mVUOfn9JYO,0.0,0.0,0.0,1.0,54
BBC,Sat Sep 01 19:55:23 +0000 2018,"RT @BBCRadio4: 😂😂😂😂😂😂😂
Laugh? We nearly fell in the sea.
The seven funniest Desert Island Discs.
https://t.co/KeqYYSMhFT",0.802,0.324,0.0,0.676,55
BBC,Sat Sep 01 18:47:18 +0000 2018,"RT @bbcstories: These women live with chronic pain which can strike at any time - they all have #Fibromyalgia, a common, little understood…",-0.5859,0.0,0.202,0.798,56
BBC,Sat Sep 01 18:09:04 +0000 2018,"🐝 What to do if you're attacked by a swarm of wasps.
👉 https://t.co/9EbsxYTbPa https://t.co/YYzWQR8JnS",-0.4588,0.0,0.214,0.786,57
BBC,Sat Sep 01 17:02:06 +0000 2018,"""Coming to Burning Man is almost like people are their truest selves.""
#Rituals #BurningMan https://t.co/qW8N42Xcja",0.6258,0.282,0.0,0.718,58
BBC,Sat Sep 01 16:07:05 +0000 2018,"A map identifying litter hotspots along Scotland's coastline has been launched.
👉 https://t.co/6TkJa4Gj35 https://t.co/pgfuRhtxcK",0.128,0.12,0.0,0.88,59
BBC,Sat Sep 01 15:02:06 +0000 2018,"Getting married? 🔔 
Here are a few ways to defuse the surname conundrum. https://t.co/RF09jnOVUG",0.0,0.0,0.0,1.0,60
BBC,Sat Sep 01 14:43:14 +0000 2018,RT @bbcweather: When do seasons actually start and end? Find out more here: https://t.co/TKmaLIU2DR NP https://t.co/0OANuj8Z9j,0.5262,0.185,0.0,0.815,61
BBC,Sat Sep 01 14:10:03 +0000 2018,"📚 From a novel about the early Third Reich to a memoir by Steve Jobs’ daughter, here are 10 excellent September rea… https://t.co/cyMfPGi6yR",0.7184,0.25,0.0,0.75,62
BBC,Sat Sep 01 13:04:05 +0000 2018,A whole new way to treat Parkinson's. https://t.co/dslDtfQAmY,0.4019,0.31,0.0,0.69,63
BBC,Sat Sep 01 12:06:02 +0000 2018,"What is 'primitive technology' and why do we love it?
👉 https://t.co/Nd4XTITC8U https://t.co/6r84K1MsP7",0.6369,0.276,0.0,0.724,64
BBC,Sat Sep 01 11:39:44 +0000 2018,"RT @BBCiPlayer: If this doesn’t make you cry, you’re obviously a Dalek.😭😭😭Binge watch #DoctorWho boxsets on BBC iPlayer 👉 https://t.co/uK9b…",-0.4767,0.0,0.154,0.846,65
BBC,Sat Sep 01 11:39:34 +0000 2018,RT @bbcstrictly: He's no average Joe. But can he cut it on the #Strictly dancefloor? Get ready to Rumba @Joe_Sugg. 🕺 https://t.co/rMsIA4rlWs,-0.2023,0.101,0.173,0.726,66
BBC,Sat Sep 01 11:05:04 +0000 2018,"These endangered birds have no sense of direction, so conservationists came up with a novel way to get them home... https://t.co/YS6O0UjhLX",0.0258,0.102,0.098,0.8,67
